ID,accuracy,x,y
390,301.748542,2687211.0,1246594.0
391,83.0,2679485.0,1246596.0
392,301.748542,2687215.0,1246600.0
393,321.666305,2686142.0,1246604.0
394,16.093253,2677458.0,1246604.0
395,212.695022,2685952.0,1246609.0
396,327.477815,2686097.0,1246619.0
397,308.814833,2686109.0,1246620.0
398,259.822662,2678072.0,1246624.0
399,72.0,2687123.0,1246630.0
400,229.0,2685919.0,1246637.0
401,21.616874,2686049.0,1246649.0
402,73.871497,2686065.0,1246666.0
403,257.492053,2677562.0,1246667.0
404,275.068247,2686045.0,1246670.0
405,257.492053,2677623.0,1246672.0
406,301.748529,2677553.0,1246677.0
407,116.79319,2686080.0,1246681.0
408,270.620696,2685931.0,1246688.0
409,301.748542,2678128.0,1246691.0
410,87.095463,2686081.0,1246696.0
411,267.400701,2685968.0,1246709.0
412,257.492052,2686015.0,1246720.0
413,301.748542,2679434.0,1246721.0
414,143.454082,2677903.0,1246725.0
415,257.492053,2677867.0,1246773.0
416,333.0,2686052.0,1246775.0
417,257.492053,2678074.0,1246777.0
418,183.147979,2687124.0,1246785.0
419,150.874271,2686244.0,1246805.0
420,301.748542,2686045.0,1246806.0
421,269.0,2686112.0,1246807.0
422,34.784985,2677946.0,1246812.0
423,102.003019,2686212.0,1246816.0
424,301.748542,2685166.0,1246821.0
425,301.748542,2685137.0,1246823.0
426,37.242326,2686115.0,1246825.0
427,114.474136,2686189.0,1246842.0
428,301.748542,2677363.0,1246844.0
429,29.730429,2681430.0,1246854.0
430,229.0,2686136.0,1246864.0
431,215.158656,2687544.0,1246868.0
432,257.492052,2689935.0,1246874.0
433,288.0,2691168.0,1246876.0
434,181.197687,2686136.0,1246893.0
435,257.492053,2676069.0,1246921.0
436,290.0,2686153.0,1246922.0
437,301.748542,2677437.0,1246950.0
438,199.788468,2686163.0,1246962.0
439,301.748542,2690570.0,1246996.0
